Elements;RefNo
S, Fe, Mg, Ca, P, Zn, Co, Ni;1
Mg, Fe, Si, O;1
Ca, O, Mg, Fe, Si;1
Ca, O, Al, Si;1
Na, O, Al, Si;1
Mg, Fe, Si, O;1
K, O, Al, O, Si;1
Fe, O, Ti;1
Fe, O, Cr;1
Ca, O, P, Ca, F;1
Fe, S;1
Fe, O;1
Ca, Ti, Si, O;1
Mg, Si, O, H;1
Al, O, H;1
Al, Si, O, H;1
Mg, Fe, Al, Si, O, H;1
Ca, Al, Fe, Si, O, H;1
Na, Al, Si, O, H;1
K, Al, Si, O, H;1
Ca, Al, Si, O, H;1
Ca, Fe, Si, O;1
Ca, S, O;1
K, Mg, Al, Si, O, H;1
Ca, Al, Si, O, H;1
Ca, Al, Si, O;1
Al, O, H;1
Al, Si, O, H;1
Ca, Al, Si, O, H;1
P, K, Fe, Ca, Mg;1
Mg, Fe, Si, O;1
Si, Al, O;1
Fe, Si, O, H;1
Fe, O;1
Fe, O, H;1
Fe, S;1
Fe, S;1
Fe, Ni, S;1
Fe, Ni, S;1
Mg, Fe, Si, O, H;1
Fe, Ni, S;1
Fe;2
Ca, C, O, Mg, U, Th;3
Ca, Al, Si, O, K, P, Fl, Cl, H;3
Mg, Fe, Si, O;3
Mg, Fe, Si, O, H;3
Fe, O;3
Mg, O, H;3
Si, O, Al, Na, Ca, K, Fe, Mg;3
Si, Al, Fe, Mg, Ca, Na, K, O;3
Si, Al, Fe, Mg, Ca, Na, K, O;3
Ca, C, O, Mg, Fe, Mn, Na, K, P, F, Cl, H, La, Ce, Nd, Sr, Ba, U, Th;3
Ca, Mg, C, O;4
Si, O;4
Ca, C, O;4
K, Mg, Al, Si, O, F, H;4
K, Al, Si, O, H, F;4
Ca, Mg, Si, O, H;4
Fe, S, O;4
K, Ba, Al, Si, O;4
Ca, Mg, C, O;4
Si, O;4
K, Ba, Al, Si, O;4
Ca, Mg, C, O;4
Si, O;4
K, Mg, Al, Si, O, F, H;4
Si, O;4
Si, O;4
Fe, O;4
Si, O;4
Ca, Mg, C, O;4
K, Mg, Al, Si, O, F, H;4
Na, O, Al, Si, Ca;4
Ca, Na, Mg, Fe, Al, Si, O, H;4
Si, O;4
Zr, Si, O;4
Fe, O;5
Fe, O;5
Fe, O;5
Ca, C, O, Fe, Mg;5
Ca, P, O, F, Cl, H;5
C;5
K, Na, Ca, Fe, Mg, Al, Si, O, H;5
Fe, Si, O, H;5
Na, O, Al, Si, Ca;5
Ca, Fe, C, O;5
Si, O;6
Si, O;6
Si, O;6
Si, O;6
Si, O;6
Fe, Si, O;6
Fe, Si, O;6
Ca, Mg, Fe, C, O, Si;6
Ca, Mg, Fe, C, O, Si;6
Si, O, K, Na, Al, Si;6
Si, O, K, Na, Al, Si;6
Ca, Na, Mg, Fe, Al, Si, O;6
Ca, Na, Mg, Fe, Al, Si, O;6
Ba, S, O, Si;6
Ba, S, O, Si;6
Mg, Fe, Si, O;7
Mg, Fe, Si, O;7
Mg, Fe, Si, O, H;7
Mg, Fe, Si, O, Al, H;7
Fe, O;7
Mg, Fe, Si, O;8
Mg, Fe, Si, O;8
Mg, Fe, Si, O;8
Mg, Fe, Si, O, H;8
Fe, O;8
Mg, Fe, O, H;8
Mg, Fe, Si, O, H;8
Mg, Fe, Si, O, Al, H;8
Ni, Fe;8
Ca, C, O, Si, Fe;9
Mg, Fe, Si, O;9
Si, O, Al, Fe, Mg, Ca, Na, K;9
Si, O;9
Mg, Fe, Si, O;9
K, Al, Si, O, Na, Ca;9
