"Category","Element","P_Value","Adjusted_P_Value"
"nuclear geyser system","Al",0.103649152648146,0.515113542175697
"nuclear geyser system","Ca",0.343259018513824,0.805668380637241
"nuclear geyser system","Co",0.0987918579025851,0.515113542175697
"nuclear geyser system","Cr",0.556919775364063,0.826941484631488
"nuclear geyser system","F",0.556919775364063,0.826941484631488
"nuclear geyser system","Fe",0.275124955786488,0.734346062019549
"nuclear geyser system","H",0.621095900519233,0.832446215509215
"nuclear geyser system","K",0.0215943937282767,0.423250117074223
"nuclear geyser system","Mg",0.0206684458226019,0.423250117074223
"nuclear geyser system","Na",0.404222455535629,0.826941484631488
"nuclear geyser system","Ni",0.049706751351375,0.487126163243475
"nuclear geyser system","O",0.166982057784326,0.591969984510641
"nuclear geyser system","P",0.0444758388978283,0.487126163243475
"nuclear geyser system","S",0.126150255226701,0.515113542175697
"nuclear geyser system","Si",0.0475235275061494,0.487126163243475
"nuclear geyser system","Ti",0.0563178699942298,0.501741023584957
"nuclear geyser system","C",0.827982671450536,0.975036065615532
"nuclear geyser system","Th",0.11814517422584,0.515113542175697
"nuclear geyser system","U",0.11814517422584,0.515113542175697
"lake","Al",0.646223919959,0.832446215509215
"lake","Ca",0.216388015285955,0.631219994977628
"lake","F",0.556919775364063,0.826941484631488
"lake","Fe",1,1
"lake","H",0.387027210198825,0.826941484631488
"lake","K",0.353507554769402,0.805668380637241
"lake","Mg",0.54256162671156,0.826941484631488
"lake","Na",0.218994692135095,0.631219994977628
"lake","O",0.597222522844766,0.832446215509215
"lake","P",0.122145758111642,0.515113542175697
"lake","S",1,1
"lake","Si",0.517596659980123,0.826941484631488
"lake","Ba",0.442499538899258,0.826941484631488
"lake","C",0.0212636775845794,0.423250117074223
"lake","Cl",0.00596797750349972,0.423250117074223
"lake","Mn",0.11814517422584,0.515113542175697
"lake","Th",0.0825232693819199,0.515113542175697
"lake","U",0.0825232693819199,0.515113542175697
"hydrothermal vent","Al",0.438023591700521,0.826941484631488
"hydrothermal vent","Ca",0.178043775954861,0.601665173916427
"hydrothermal vent","Cr",0.522182504368629,0.826941484631488
"hydrothermal vent","F",0.214117277456989,0.631219994977628
"hydrothermal vent","Fe",0.0433313253234527,0.487126163243475
"hydrothermal vent","H",0.47599656306305,0.826941484631488
"hydrothermal vent","K",0.156856530618272,0.591228461561177
"hydrothermal vent","Mg",0.335735173751177,0.805668380637241
"hydrothermal vent","Na",0.215749387386343,0.631219994977628
"hydrothermal vent","Ni",0.888862456920396,1
"hydrothermal vent","O",0.602382897345245,0.832446215509215
"hydrothermal vent","P",0.0475518921012802,0.487126163243475
"hydrothermal vent","S",0.548000635379462,0.826941484631488
"hydrothermal vent","Si",0.835745199099027,0.975036065615532
"hydrothermal vent","Ti",0.421523944642774,0.826941484631488
"hydrothermal vent","C",0.63588157745348,0.832446215509215
"hydrothermal vent","Cl",0.345928629293761,0.805668380637241
"hydrothermal vent","Mn",0.911402459825437,1
"hydrothermal vent","Th",1,1
"hydrothermal vent","U",1,1
"volcano","Al",0.900376530399442,1
"volcano","Ca",0.483610384037749,0.826941484631488
"volcano","Fe",0.808377908489122,0.966110183316268
"volcano","H",0.232261744441259,0.650332884435526
"volcano","K",0.536220640401284,0.826941484631488
"volcano","Mg",0.490108404254874,0.826941484631488
"volcano","Na",1,1
"volcano","O",0.515474517752009,0.826941484631488
"volcano","S",0.805150296169309,0.966110183316268
"volcano","Si",0.169134281288755,0.591969984510641
"volcano","Ba",0.305848370721455,0.77719327955233
"volcano","C",0.486850598408641,0.826941484631488
"volcano","Th",0.11814517422584,0.515113542175697
"volcano","U",0.11814517422584,0.515113542175697
"rock pores","Al",0.66011752431425,0.832446215509215
"rock pores","Ca",0.640034209760333,0.832446215509215
"rock pores","Cr",1,1
"rock pores","F",0.215680749361015,0.631219994977628
"rock pores","Fe",0.0153214145731912,0.423250117074223
"rock pores","H",0.640154726742281,0.832446215509215
"rock pores","K",0.542617380733774,0.826941484631488
"rock pores","Mg",0.12192899512183,0.515113542175697
"rock pores","Na",0.943258615005116,1
"rock pores","O",0.575383283042044,0.832010093807955
"rock pores","P",0.676162429823915,0.838783773705616
"rock pores","S",0.522223801032826,0.826941484631488
"rock pores","Si",0.577313126315724,0.832010093807955
"rock pores","Ti",0.309291203087152,0.77719327955233
"rock pores","Ba",0.132449182449829,0.519200795203332
"rock pores","C",0.943829323453147,1
"rock pores","Cl",0.876423864892659,1
"coastal environment","Al",0.452976523089505,0.826941484631488
"coastal environment","Ca",0.553277654542375,0.826941484631488
"coastal environment","Fe",0.0655417315440107,0.515113542175697
"coastal environment","H",0.277253105048197,0.734346062019549
"coastal environment","K",0.915627551839665,1
"coastal environment","Mg",0.407985169792882,0.826941484631488
"coastal environment","P",0.62113962662343,0.832446215509215
"coastal environment","S",0.722648695415042,0.885244651883427
"coastal environment","Si",0.662559232752232,0.832446215509215
"coastal environment","C",0.958445656356822,1
