"RefNo","Al","Ca","Co","Cr","F","Fe","H","K","Mg","Na","Ni","O","P","S","Si","Ti","Zn","Ba","C","Ce","Cl","Fl","La","Mn","Nd","Sr","Th","U","Zr","Cu"
1,17,14,1,1,1,22,16,4,10,2,4,34,3,8,24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,6,0,0,1,7,4,5,8,4,0,10,2,0,6,0,0,1,2,1,2,1,1,1,1,1,2,2,0,0
4,8,8,0,0,4,3,6,6,9,2,0,24,0,1,17,0,0,2,5,0,0,0,0,0,0,0,0,0,1,0
5,2,5,0,0,1,7,3,1,2,2,0,9,1,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
6,4,4,0,0,0,6,0,2,4,4,0,15,0,2,17,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,5,2,0,4,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,9,4,0,7,0,1,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,4,0,0,0,5,1,3,4,3,0,7,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,2,3,0,4,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,4,0,0,2,2,2,1,2,1,0,4,2,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
12,1,1,0,1,0,9,2,0,6,1,0,9,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,3,0,1,0,6,1,0,4,2,1,7,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,3,4,0,0,0,6,0,3,5,3,1,5,2,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,0,2,0,0,0,5,2,1,2,3,0,7,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
16,2,2,0,0,0,5,1,0,4,0,0,7,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
17,3,4,0,0,0,6,3,0,6,3,0,9,0,1,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
18,0,1,0,0,0,3,1,0,4,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,6,2,0,4,0,1,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,3,0,1,0,5,2,1,5,1,0,6,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,8,6,0,5,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,1,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,3,0,0,0,2,0,1,1,1,0,5,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,3,4,0,6,0,1,8,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,3,0,0,0,5,0,1,3,2,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4,4,0,0,0,5,2,2,5,4,1,7,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,0,0,0,4,2,1,6,0,0,10,0,0,7,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0
31,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,2,0,0,2,2,1,0,1,0,0,6,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,0,1,0,0,0,6,1,0,3,0,2,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,1,0,8,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
35,4,4,0,0,1,3,3,1,1,1,0,10,1,1,6,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
36,2,2,0,1,0,7,1,1,5,1,0,5,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,0,1,0,0,0,4,0,0,0,0,0,5,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
38,2,3,0,0,1,0,3,0,3,1,0,7,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,0,2,0,0,0,1,1,0,4,0,0,5,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
40,1,1,0,0,0,0,1,0,0,0,0,4,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
41,1,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
